RecordKey,CustomerName,LicenseCode,LicenseCategory,AsOfDate,PurchasedUnits,UtilizedUnits,UtilizationPercent
"ADVENT INTERNATIONAL, L.P.|1976-7905-6363-0280|AI Units|2026-07-30","ADVENT INTERNATIONAL, L.P.",1976-7905-6363-0280,AI Units,2026-07-30,120000,2095,1.75
"ADVENT INTERNATIONAL, L.P.|9938-1992-7831-0909|Platform Units|2026-08-09","ADVENT INTERNATIONAL, L.P.",9938-1992-7831-0909,Platform Units,2026-08-09,50000,4343.4,8.69
Alabama Credit Union|1074-5350-9964-6674|Unattended Production License|2024-09-30,Alabama Credit Union,1074-5350-9964-6674,Unattended Production License,2024-09-30,5,5,100
Alabama Credit Union|7759-8382-0379-8595|Unattended Production License|2026-07-31,Alabama Credit Union,7759-8382-0379-8595,Unattended Production License,2026-07-31,16,8,50
Alabama Credit Union|1074-5350-9964-6674|Unattended Test Robot License|2024-09-30,Alabama Credit Union,1074-5350-9964-6674,Unattended Test Robot License,2024-09-30,5,5,100
Alabama Credit Union|7759-8382-0379-8595|Unattended Test Robot License|2026-07-31,Alabama Credit Union,7759-8382-0379-8595,Unattended Test Robot License,2026-07-31,2,1,50
Alabama Credit Union|1074-5350-9964-6674|User Licenses|2024-09-30,Alabama Credit Union,1074-5350-9964-6674,User Licenses,2024-09-30,76,1,1.32
Alabama Credit Union|7759-8382-0379-8595|User Licenses|2026-07-31,Alabama Credit Union,7759-8382-0379-8595,User Licenses,2026-07-31,23,3,13.04
Alabama Credit Union|1074-5350-9964-6674|AI Units|2024-10-31,Alabama Credit Union,1074-5350-9964-6674,AI Units,2024-10-31,1,0,0
Alabama Credit Union|7759-8382-0379-8595|AI Units|2026-05-22,Alabama Credit Union,7759-8382-0379-8595,AI Units,2026-05-22,60000,407,0.68
"Alkeon Capital Management, LLC|2739-1415-1601-0335|User Licenses|2026-07-31","Alkeon Capital Management, LLC",2739-1415-1601-0335,User Licenses,2026-07-31,8,6,75
"Alkeon Capital Management, LLC|2739-1415-1601-0335|AI Units|2026-08-03","Alkeon Capital Management, LLC",2739-1415-1601-0335,AI Units,2026-08-03,60000,131.2,0.22
Alliant Credit Union|8370-9562-9842-5259|Unattended Production License|2026-07-31,Alliant Credit Union,8370-9562-9842-5259,Unattended Production License,2026-07-31,25,25,100
Alliant Credit Union|8370-9562-9842-5259|Unattended Test Robot License|2026-07-31,Alliant Credit Union,8370-9562-9842-5259,Unattended Test Robot License,2026-07-31,13,11,84.62
Alliant Credit Union|0996-4995-6563-7938|User Licenses|2026-06-30,Alliant Credit Union,0996-4995-6563-7938,User Licenses,2026-06-30,51,0,0
Alliant Credit Union|8370-9562-9842-5259|User Licenses|2026-07-31,Alliant Credit Union,8370-9562-9842-5259,User Licenses,2026-07-31,361,49,13.57
Alliant Credit Union|8370-9562-9842-5259|AI Units|2026-08-07,Alliant Credit Union,8370-9562-9842-5259,AI Units,2026-08-07,541644,2871,0.53
"American Financial Group, Inc.|9622-0182-5002-3231|Unattended Production License|2026-07-31","American Financial Group, Inc.",9622-0182-5002-3231,Unattended Production License,2026-07-31,40,35,87.5
"American Financial Group, Inc.|386703889753131119|Unattended Production License|2025-03-31","American Financial Group, Inc.",386703889753131119,Unattended Production License,2025-03-31,12,0,0
"American Financial Group, Inc.|9622-0182-5002-3231|NonProduction Robot License|2026-07-31","American Financial Group, Inc.",9622-0182-5002-3231,NonProduction Robot License,2026-07-31,0,26,
"American Financial Group, Inc.|9622-0182-5002-3231|Unattended Test Robot License|2026-07-31","American Financial Group, Inc.",9622-0182-5002-3231,Unattended Test Robot License,2026-07-31,30,29,96.67
"American Financial Group, Inc.|9622-0182-5002-3231|User Licenses|2026-07-31","American Financial Group, Inc.",9622-0182-5002-3231,User Licenses,2026-07-31,275,36,13.09
"American Financial Group, Inc.|9622-0182-5002-3231|AI Units|2026-08-09","American Financial Group, Inc.",9622-0182-5002-3231,AI Units,2026-08-09,840000,184599.8,21.98
American National Bank of Texas|8017-9871-6919-6392|Unattended Production License|2026-07-31,American National Bank of Texas,8017-9871-6919-6392,Unattended Production License,2026-07-31,2,2,100
American National Bank of Texas|1152-5661-8165-2999|Unattended Production License|2023-08-31,American National Bank of Texas,1152-5661-8165-2999,Unattended Production License,2023-08-31,10,0,0
American National Bank of Texas|1152-5661-8165-2999|NonProduction Robot License|2023-08-31,American National Bank of Texas,1152-5661-8165-2999,NonProduction Robot License,2023-08-31,10,0,0
American National Bank of Texas|8017-9871-6919-6392|Unattended Test Robot License|2026-07-31,American National Bank of Texas,8017-9871-6919-6392,Unattended Test Robot License,2026-07-31,1,1,100
American National Bank of Texas|1152-5661-8165-2999|User Licenses|2023-08-31,American National Bank of Texas,1152-5661-8165-2999,User Licenses,2023-08-31,30,0,0
American National Bank of Texas|8017-9871-6919-6392|User Licenses|2026-07-31,American National Bank of Texas,8017-9871-6919-6392,User Licenses,2026-07-31,19,0,0
American United Mutual Insurance Holding Company|3461-7736-8481-6660|Unattended Production License|2026-07-31,American United Mutual Insurance Holding Company,3461-7736-8481-6660,Unattended Production License,2026-07-31,0,1,
American United Mutual Insurance Holding Company|0641-1482-8261-2800|Unattended Production License|2026-07-31,American United Mutual Insurance Holding Company,0641-1482-8261-2800,Unattended Production License,2026-07-31,40,40,100
American United Mutual Insurance Holding Company|0641-1482-8261-2800|User Licenses|2026-07-31,American United Mutual Insurance Holding Company,0641-1482-8261-2800,User Licenses,2026-07-31,51,10,19.61
Ameris Bancorp|3071-5188-8175-2174|Unattended Production License|2026-07-31,Ameris Bancorp,3071-5188-8175-2174,Unattended Production License,2026-07-31,7,21,300
Ameris Bancorp|3071-5188-8175-2174|Unattended Test Robot License|2026-07-31,Ameris Bancorp,3071-5188-8175-2174,Unattended Test Robot License,2026-07-31,7,10,142.86
Ameris Bancorp|3071-5188-8175-2174|User Licenses|2026-07-31,Ameris Bancorp,3071-5188-8175-2174,User Licenses,2026-07-31,204,30,14.71
Ameris Bancorp|3071-5188-8175-2174|AI Units|2026-08-08,Ameris Bancorp,3071-5188-8175-2174,AI Units,2026-08-08,120000,72128.4,60.11
Amerisure Mutual Insurance|3701-6787-9261-7170|Unattended Production License|2026-07-31,Amerisure Mutual Insurance,3701-6787-9261-7170,Unattended Production License,2026-07-31,1,2,200
Amerisure Mutual Insurance|3701-6787-9261-7170|Unattended Test Robot License|2026-07-31,Amerisure Mutual Insurance,3701-6787-9261-7170,Unattended Test Robot License,2026-07-31,1,1,100
Amerisure Mutual Insurance|3701-6787-9261-7170|User Licenses|2026-07-31,Amerisure Mutual Insurance,3701-6787-9261-7170,User Licenses,2026-07-31,104,0,0
"Apollo Global Management, Inc.|3796-2178-8382-1124|Unattended Production License|2026-07-31","Apollo Global Management, Inc.",3796-2178-8382-1124,Unattended Production License,2026-07-31,7,0,0
"Apollo Global Management, Inc.|6750-5088-6136-8870|Unattended Production License|2026-07-31","Apollo Global Management, Inc.",6750-5088-6136-8870,Unattended Production License,2026-07-31,10,10,100
"Apollo Global Management, Inc.|7215-6543-9689-3140|Unattended Production License|2026-07-31","Apollo Global Management, Inc.",7215-6543-9689-3140,Unattended Production License,2026-07-31,16,16,100
"Apollo Global Management, Inc.|3796-2178-8382-1124|Unattended Test Robot License|2026-07-31","Apollo Global Management, Inc.",3796-2178-8382-1124,Unattended Test Robot License,2026-07-31,2,0,0
"Apollo Global Management, Inc.|6750-5088-6136-8870|Unattended Test Robot License|2026-07-31","Apollo Global Management, Inc.",6750-5088-6136-8870,Unattended Test Robot License,2026-07-31,5,5,100
"Apollo Global Management, Inc.|3796-2178-8382-1124|User Licenses|2026-07-31","Apollo Global Management, Inc.",3796-2178-8382-1124,User Licenses,2026-07-31,4,0,0
"Apollo Global Management, Inc.|6750-5088-6136-8870|User Licenses|2026-07-31","Apollo Global Management, Inc.",6750-5088-6136-8870,User Licenses,2026-07-31,63,22,34.92
"Apollo Global Management, Inc.|9528-8793-7143-0089|User Licenses|2026-07-31","Apollo Global Management, Inc.",9528-8793-7143-0089,User Licenses,2026-07-31,11,0,0
"Apollo Global Management, Inc.|7215-6543-9689-3140|User Licenses|2026-07-31","Apollo Global Management, Inc.",7215-6543-9689-3140,User Licenses,2026-07-31,23,0,0
"Apollo Global Management, Inc.|6750-5088-6136-8870|AI Units|2026-08-09","Apollo Global Management, Inc.",6750-5088-6136-8870,AI Units,2026-08-09,300000,141568.6,47.19
"Apple Financial Holdings, Inc.|7826-3124-6373-6715|Unattended Production License|2025-05-31","Apple Financial Holdings, Inc.",7826-3124-6373-6715,Unattended Production License,2025-05-31,0,5,
"Apple Financial Holdings, Inc.|1321-2993-8419-1825|Unattended Production License|2026-07-31","Apple Financial Holdings, Inc.",1321-2993-8419-1825,Unattended Production License,2026-07-31,2,2,100
"Apple Financial Holdings, Inc.|1321-2993-8419-1825|Unattended Test Robot License|2026-07-31","Apple Financial Holdings, Inc.",1321-2993-8419-1825,Unattended Test Robot License,2026-07-31,1,1,100
"Apple Financial Holdings, Inc.|7826-3124-6373-6715|User Licenses|2025-05-31","Apple Financial Holdings, Inc.",7826-3124-6373-6715,User Licenses,2025-05-31,0,1,
"Apple Financial Holdings, Inc.|1321-2993-8419-1825|User Licenses|2026-07-31","Apple Financial Holdings, Inc.",1321-2993-8419-1825,User Licenses,2026-07-31,136,3,2.21
Arch Capital Group Ltd.|7334-7216-3657-0525|Unattended Production License|2026-07-31,Arch Capital Group Ltd.,7334-7216-3657-0525,Unattended Production License,2026-07-31,19,16,84.21
Arch Capital Group Ltd.|7334-7216-3657-0525|Unattended Test Robot License|2026-07-31,Arch Capital Group Ltd.,7334-7216-3657-0525,Unattended Test Robot License,2026-07-31,10,9,90
Arch Capital Group Ltd.|7334-7216-3657-0525|User Licenses|2026-07-31,Arch Capital Group Ltd.,7334-7216-3657-0525,User Licenses,2026-07-31,76,21,27.63
Arch Capital Group Ltd.|7334-7216-3657-0525|AI Units|2026-08-07,Arch Capital Group Ltd.,7334-7216-3657-0525,AI Units,2026-08-07,75000,732,0.98
"Arvest Bank Group, Inc.|4728-5050-3874-0118|Unattended Production License|2025-02-28","Arvest Bank Group, Inc.",4728-5050-3874-0118,Unattended Production License,2025-02-28,50,0,0
"Arvest Bank Group, Inc.|1551-0697-1502-9473|Unattended Production License|2026-07-31","Arvest Bank Group, Inc.",1551-0697-1502-9473,Unattended Production License,2026-07-31,80,80,100
"Arvest Bank Group, Inc.|1551-0697-1502-9473|Unattended Test Robot License|2026-07-31","Arvest Bank Group, Inc.",1551-0697-1502-9473,Unattended Test Robot License,2026-07-31,20,20,100
"Arvest Bank Group, Inc.|1435-0559-4136-1703|Unattended Test Robot License|2025-02-28","Arvest Bank Group, Inc.",1435-0559-4136-1703,Unattended Test Robot License,2025-02-28,2,0,0
"Arvest Bank Group, Inc.|4728-5050-3874-0118|User Licenses|2025-02-28","Arvest Bank Group, Inc.",4728-5050-3874-0118,User Licenses,2025-02-28,40,0,0
"Arvest Bank Group, Inc.|1551-0697-1502-9473|User Licenses|2026-07-31","Arvest Bank Group, Inc.",1551-0697-1502-9473,User Licenses,2026-07-31,2361,462,19.57
"Arvest Bank Group, Inc.|3616-2369-0108-4051|User Licenses|2025-02-28","Arvest Bank Group, Inc.",3616-2369-0108-4051,User Licenses,2025-02-28,85,0,0
"Arvest Bank Group, Inc.|1435-0559-4136-1703|User Licenses|2025-02-28","Arvest Bank Group, Inc.",1435-0559-4136-1703,User Licenses,2025-02-28,5,0,0
"Arvest Bank Group, Inc.|1551-0697-1502-9473|Platform Units|2026-08-09","Arvest Bank Group, Inc.",1551-0697-1502-9473,Platform Units,2026-08-09,200000,10123.51,5.06
Associations Inc (Associa)|4061-0631-5970-4267|Unattended Production License|2026-07-31,Associations Inc (Associa),4061-0631-5970-4267,Unattended Production License,2026-07-31,22,20,90.91
Associations Inc (Associa)|386766192193596892|Unattended Production License|2025-09-30,Associations Inc (Associa),386766192193596892,Unattended Production License,2025-09-30,21,0,0
Associations Inc (Associa)|386712950847552554|NonProduction Robot License|2025-09-30,Associations Inc (Associa),386712950847552554,NonProduction Robot License,2025-09-30,7,0,0
Associations Inc (Associa)|386776818927564051|NonProduction Robot License|2025-09-30,Associations Inc (Associa),386776818927564051,NonProduction Robot License,2025-09-30,3,0,0
Associations Inc (Associa)|4061-0631-5970-4267|Unattended Test Robot License|2026-07-31,Associations Inc (Associa),4061-0631-5970-4267,Unattended Test Robot License,2026-07-31,12,8,66.67
Associations Inc (Associa)|386766192193596892|User Licenses|2025-09-30,Associations Inc (Associa),386766192193596892,User Licenses,2025-09-30,10,0,0
Associations Inc (Associa)|386712950847552554|User Licenses|2025-09-30,Associations Inc (Associa),386712950847552554,User Licenses,2025-09-30,6,0,0
Associations Inc (Associa)|4061-0631-5970-4267|User Licenses|2026-07-31,Associations Inc (Associa),4061-0631-5970-4267,User Licenses,2026-07-31,55,15,27.27
Associations Inc (Associa)|4061-0631-5970-4267|AI Units|2026-07-31,Associations Inc (Associa),4061-0631-5970-4267,AI Units,2026-07-31,60000,0,0
Atlantic Union Bankshares Corporation|3785-4147-5425-5912|Unattended Production License|2026-07-31,Atlantic Union Bankshares Corporation,3785-4147-5425-5912,Unattended Production License,2026-07-31,13,0,0
Atlantic Union Bankshares Corporation|4534-3168-5909-4038|Unattended Production License|2026-06-30,Atlantic Union Bankshares Corporation,4534-3168-5909-4038,Unattended Production License,2026-06-30,0,2,
Atlantic Union Bankshares Corporation|2330-1118-0705-3657|Unattended Test Robot License|2026-07-31,Atlantic Union Bankshares Corporation,2330-1118-0705-3657,Unattended Test Robot License,2026-07-31,4,0,0
Atlantic Union Bankshares Corporation|3785-4147-5425-5912|User Licenses|2026-07-31,Atlantic Union Bankshares Corporation,3785-4147-5425-5912,User Licenses,2026-07-31,5,0,0
Atlantic Union Bankshares Corporation|4534-3168-5909-4038|User Licenses|2026-06-30,Atlantic Union Bankshares Corporation,4534-3168-5909-4038,User Licenses,2026-06-30,0,6,
Atlantic Union Bankshares Corporation|6279-7333-1013-8454|User Licenses|2026-07-31,Atlantic Union Bankshares Corporation,6279-7333-1013-8454,User Licenses,2026-07-31,11,0,0
Atlantic Union Bankshares Corporation|2330-1118-0705-3657|User Licenses|2026-07-31,Atlantic Union Bankshares Corporation,2330-1118-0705-3657,User Licenses,2026-07-31,4,0,0
Atlantic Union Bankshares Corporation|6279-7333-1013-8454|AI Units|2026-07-31,Atlantic Union Bankshares Corporation,6279-7333-1013-8454,AI Units,2026-07-31,225000,0,0
"Automatic Data Processing, Inc.|3691-2430-9745-6683|Unattended Production License|2026-07-31","Automatic Data Processing, Inc.",3691-2430-9745-6683,Unattended Production License,2026-07-31,0,1,
"Automatic Data Processing, Inc.|8780-2372-1851-4245|Unattended Production License|2025-04-30","Automatic Data Processing, Inc.",8780-2372-1851-4245,Unattended Production License,2025-04-30,0,1,
"Automatic Data Processing, Inc.|5585-8366-6925-6919|User Licenses|2025-12-31","Automatic Data Processing, Inc.",5585-8366-6925-6919,User Licenses,2025-12-31,1,0,0
"Automatic Data Processing, Inc.|7980-5550-5060-6195|User Licenses|2025-12-31","Automatic Data Processing, Inc.",7980-5550-5060-6195,User Licenses,2025-12-31,2,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|3795-1465-8174-4671|Unattended Production License|2025-03-31","Automation Research, Inc. dba DataVerify and its Affiliates",3795-1465-8174-4671,Unattended Production License,2025-03-31,15,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|0422-5764-8010-9184|Unattended Production License|2026-07-31","Automation Research, Inc. dba DataVerify and its Affiliates",0422-5764-8010-9184,Unattended Production License,2026-07-31,20,15,75
"Automation Research, Inc. dba DataVerify and its Affiliates|2150-2521-5768-7219|Unattended Test Robot License|2025-03-31","Automation Research, Inc. dba DataVerify and its Affiliates",2150-2521-5768-7219,Unattended Test Robot License,2025-03-31,3,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|0422-5764-8010-9184|Unattended Test Robot License|2026-07-31","Automation Research, Inc. dba DataVerify and its Affiliates",0422-5764-8010-9184,Unattended Test Robot License,2026-07-31,5,3,60
"Automation Research, Inc. dba DataVerify and its Affiliates|2150-2521-5768-7219|User Licenses|2025-03-31","Automation Research, Inc. dba DataVerify and its Affiliates",2150-2521-5768-7219,User Licenses,2025-03-31,6,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|3795-1465-8174-4671|User Licenses|2025-03-31","Automation Research, Inc. dba DataVerify and its Affiliates",3795-1465-8174-4671,User Licenses,2025-03-31,12,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|0422-5764-8010-9184|User Licenses|2026-07-31","Automation Research, Inc. dba DataVerify and its Affiliates",0422-5764-8010-9184,User Licenses,2026-07-31,171,25,14.62
"Automation Research, Inc. dba DataVerify and its Affiliates|7470-9327-2568-0766|User Licenses|2025-10-31","Automation Research, Inc. dba DataVerify and its Affiliates",7470-9327-2568-0766,User Licenses,2025-10-31,1,0,0
"Automation Research, Inc. dba DataVerify and its Affiliates|0422-5764-8010-9184|AI Units|2026-07-31","Automation Research, Inc. dba DataVerify and its Affiliates",0422-5764-8010-9184,AI Units,2026-07-31,360000,0,0
BAC Florida Bank|1554-3934-1853-2327|Unattended Production License|2026-07-31,BAC Florida Bank,1554-3934-1853-2327,Unattended Production License,2026-07-31,5,5,100
BAC Florida Bank|1554-3934-1853-2327|Unattended Test Robot License|2026-07-31,BAC Florida Bank,1554-3934-1853-2327,Unattended Test Robot License,2026-07-31,4,4,100
BAC Florida Bank|1554-3934-1853-2327|User Licenses|2026-07-31,BAC Florida Bank,1554-3934-1853-2327,User Licenses,2026-07-31,25,5,20
BECU|2275-8892-7439-5647|Unattended Production License|2026-07-31,BECU,2275-8892-7439-5647,Unattended Production License,2026-07-31,35,28,80
BECU|2275-8892-7439-5647|Unattended Test Robot License|2026-07-31,BECU,2275-8892-7439-5647,Unattended Test Robot License,2026-07-31,55,45,81.82
BECU|2275-8892-7439-5647|User Licenses|2026-07-31,BECU,2275-8892-7439-5647,User Licenses,2026-07-31,327,82,25.08
BECU|2275-8892-7439-5647|AI Units|2026-02-11,BECU,2275-8892-7439-5647,AI Units,2026-02-11,300000,30,0.01
"BankUnited, N.A.|4372-7733-3726-6654|Unattended Production License|2026-07-31","BankUnited, N.A.",4372-7733-3726-6654,Unattended Production License,2026-07-31,24,24,100
"BankUnited, N.A.|2174-3386-0860-3811|Unattended Production License|2026-07-31","BankUnited, N.A.",2174-3386-0860-3811,Unattended Production License,2026-07-31,2,2,100
"BankUnited, N.A.|386711339559208925|Unattended Production License|2025-06-30","BankUnited, N.A.",386711339559208925,Unattended Production License,2025-06-30,18,0,0
"BankUnited, N.A.|386762506424238984|NonProduction Robot License|2025-06-30","BankUnited, N.A.",386762506424238984,NonProduction Robot License,2025-06-30,5,0,0
"BankUnited, N.A.|4372-7733-3726-6654|NonProduction Robot License|2026-07-31","BankUnited, N.A.",4372-7733-3726-6654,NonProduction Robot License,2026-07-31,5,5,100
"BankUnited, N.A.|4372-7733-3726-6654|Unattended Test Robot License|2026-07-31","BankUnited, N.A.",4372-7733-3726-6654,Unattended Test Robot License,2026-07-31,10,10,100
"BankUnited, N.A.|386762506424238984|Unattended Test Robot License|2025-06-30","BankUnited, N.A.",386762506424238984,Unattended Test Robot License,2025-06-30,5,0,0
"BankUnited, N.A.|2174-3386-0860-3811|Unattended Test Robot License|2026-07-31","BankUnited, N.A.",2174-3386-0860-3811,Unattended Test Robot License,2026-07-31,2,2,100
"BankUnited, N.A.|5567-8345-7832-8841|User Licenses|2024-10-31","BankUnited, N.A.",5567-8345-7832-8841,User Licenses,2024-10-31,221,1,0.45
"BankUnited, N.A.|386711339559208925|User Licenses|2025-06-30","BankUnited, N.A.",386711339559208925,User Licenses,2025-06-30,4,0,0
"BankUnited, N.A.|2174-3386-0860-3811|User Licenses|2026-07-31","BankUnited, N.A.",2174-3386-0860-3811,User Licenses,2026-07-31,39,0,0
"BankUnited, N.A.|4372-7733-3726-6654|User Licenses|2026-07-31","BankUnited, N.A.",4372-7733-3726-6654,User Licenses,2026-07-31,210,34,16.19
"BankUnited, N.A.|386762506424238984|User Licenses|2025-06-30","BankUnited, N.A.",386762506424238984,User Licenses,2025-06-30,15,0,0
"BankUnited, N.A.|5567-8345-7832-8841|AI Units|2024-11-30","BankUnited, N.A.",5567-8345-7832-8841,AI Units,2024-11-30,120001,0,0
"BankUnited, N.A.|4372-7733-3726-6654|AI Units|2026-07-29","BankUnited, N.A.",4372-7733-3726-6654,AI Units,2026-07-29,1300000,2913.95,0.22
"BankUnited, N.A.|2174-3386-0860-3811|Platform Units|2026-07-31","BankUnited, N.A.",2174-3386-0860-3811,Platform Units,2026-07-31,8000,0,0
Banque Nationale du Canada|5211-8629-1709-0915|Unattended Production License|2026-07-31,Banque Nationale du Canada,5211-8629-1709-0915,Unattended Production License,2026-07-31,5,5,100
Banque Nationale du Canada|5211-8629-1709-0915|Unattended Test Robot License|2026-07-31,Banque Nationale du Canada,5211-8629-1709-0915,Unattended Test Robot License,2026-07-31,5,5,100
Banque Nationale du Canada|5211-8629-1709-0915|User Licenses|2026-07-31,Banque Nationale du Canada,5211-8629-1709-0915,User Licenses,2026-07-31,41,11,26.83
Banque Nationale du Canada|0086-7613-8260-7885|AI Units|2025-08-31,Banque Nationale du Canada,0086-7613-8260-7885,AI Units,2025-08-31,1,0,0
Banque Nationale du Canada|5211-8629-1709-0915|Platform Units|2026-08-09,Banque Nationale du Canada,5211-8629-1709-0915,Platform Units,2026-08-09,20000,30.92,0.15
Baxter Credit Union|9254-4074-1793-6763|Unattended Production License|2026-07-31,Baxter Credit Union,9254-4074-1793-6763,Unattended Production License,2026-07-31,10,9,90
Baxter Credit Union|0010-8313-6502-0523|Unattended Production License|2023-09-30,Baxter Credit Union,0010-8313-6502-0523,Unattended Production License,2023-09-30,9,0,0
Baxter Credit Union|9254-4074-1793-6763|NonProduction Robot License|2026-07-31,Baxter Credit Union,9254-4074-1793-6763,NonProduction Robot License,2026-07-31,1,1,100
Baxter Credit Union|1747-7774-9379-0275|NonProduction Robot License|2023-09-30,Baxter Credit Union,1747-7774-9379-0275,NonProduction Robot License,2023-09-30,1,0,0
Baxter Credit Union|9254-4074-1793-6763|Unattended Test Robot License|2026-07-31,Baxter Credit Union,9254-4074-1793-6763,Unattended Test Robot License,2026-07-31,1,2,200
Baxter Credit Union|0010-8313-6502-0523|Unattended Test Robot License|2023-09-30,Baxter Credit Union,0010-8313-6502-0523,Unattended Test Robot License,2023-09-30,2,0,0
Baxter Credit Union|1747-7774-9379-0275|User Licenses|2023-09-30,Baxter Credit Union,1747-7774-9379-0275,User Licenses,2023-09-30,8,0,0
Baxter Credit Union|9254-4074-1793-6763|User Licenses|2026-07-31,Baxter Credit Union,9254-4074-1793-6763,User Licenses,2026-07-31,189,32,16.93
Baxter Credit Union|9254-4074-1793-6763|Platform Units|2026-08-09,Baxter Credit Union,9254-4074-1793-6763,Platform Units,2026-08-09,35028,5183.44,14.8
"Block, Inc.|4591-2320-8099-2081|Unattended Production License|2026-07-31","Block, Inc.",4591-2320-8099-2081,Unattended Production License,2026-07-31,12,10,83.33
"Block, Inc.|4755-1013-0665-2097|Unattended Production License|2026-07-31","Block, Inc.",4755-1013-0665-2097,Unattended Production License,2026-07-31,0,1,
"Block, Inc.|9240-3415-7619-1269|Unattended Production License|2024-04-30","Block, Inc.",9240-3415-7619-1269,Unattended Production License,2024-04-30,8,0,0
"Block, Inc.|1567-6503-7638-6755|Unattended Production License|2026-07-31","Block, Inc.",1567-6503-7638-6755,Unattended Production License,2026-07-31,1,0,0
